Month,2014 Revenue,2013 Revenue,YoY Change
Jan.,414242,330419,125.4%
Feb.,445493,306252,145.5%
Mar.,481599,360916,133.4%
Apr.,459529,390208,117.8%
May.,507065,342004,148.3%
Jun.,569824,470397,121.1%
Jul.,534490,452804,118.0%
Aug.,549493,492545,111.6%
Sep.,548543,454912,120.6%
Oct.,520222,539082,96.5%
Nov.,562143,460651,122.0%
Dec.,591158,375134,157.6%
YTD Total,6183802,4975325,124.3%
